SetID	P.value	N.Marker.All	N.Marker.Test	pval_skat.bon	SetID	P.value	N.Marker.All	N.Marker.Test	pval_skato.bon	SetID	P.value	N.Marker.All	N.Marker.Test	pval_burden.bon
DDX11L1	0.971674990121756	22	17	1	DDX11L1	0.73286952873537	22	17	1	DDX11L1	0.641627031958551	22	17	1
WASH7P	0.970854362307344	128	84	1	WASH7P	0.758431081337611	128	84	1	WASH7P	0.670414263974278	128	84	1
MIR1302-2	1	1	0	1	MIR1302-2	1	1	0	1	MIR1302-2	1	1	0	1
OR4F5	0.924723953146247	4	1	1	OR4F5	0.798277354034931	4	1	1	OR4F5	0.924723953146247	4	1	1
LOC729737	0.999395948907892	49	38	1	LOC729737	0.856173534141337	49	38	1	LOC729737	0.630397740171859	49	38	1
LOC100132287	1	5	0	1	LOC100132287	1	5	0	1	LOC100132287	1	5	0	1
LOC101928626	1	2	0	1	LOC101928626	1	2	0	1	LOC101928626	1	2	0	1
MIR12136	1	1	0	1	MIR12136	1	1	0	1	MIR12136	1	1	0	1
LOC100133331	0.993573703729482	19	18	1	LOC100133331	1	19	18	1	LOC100133331	0.903551222446293	19	18	1
LOC100288069	0.999997409654552	84	78	1	LOC100288069	1	84	78	1	LOC100288069	0.876867620385036	84	78	1
FAM87B	0.904190202376709	17	16	1	FAM87B	0.781983361467817	17	16	1	FAM87B	0.607531963966325	17	16	1
LINC00115	0.789175152289437	16	15	1	LINC00115	0.565022546582777	16	15	1	LINC00115	0.454129401652386	16	15	1
LINC01128	0.999930999216443	68	57	1	LINC01128	1	68	57	1	LINC01128	0.83570840003763	68	57	1
FAM41C	0.998434816532127	60	54	1	FAM41C	1	60	54	1	FAM41C	0.881530432076062	60	54	1
LINC02593	0.892552369778857	15	15	1	LINC02593	1	15	15	1	LINC02593	0.715208904597699	15	15	1
SAMD11	0.999924822290157	112	87	1	SAMD11	0.897871591463735	112	87	1	SAMD11	0.993949060594489	112	87	1
NOC2L	0.999811084849434	58	42	1	NOC2L	0.779982420693499	58	42	1	NOC2L	0.443395135549203	58	42	1
KLHL17	0.998855362872259	31	13	1	KLHL17	1	31	13	1	KLHL17	0.830892366652333	31	13	1
PLEKHN1	0.998632675769628	49	45	1	PLEKHN1	0.860206288067112	49	45	1	PLEKHN1	0.954521490140046	49	45	1
PERM1	0.944372082579407	19	11	1	PERM1	1	19	11	1	PERM1	0.895687849965545	19	11	1
HES4	0.944906619479701	4	4	1	HES4	1	4	4	1	HES4	0.719692970714671	4	4	1
